id,name,type,size,ram,cpu,disk,gpu,bandwidth,price,provider
35,d2.8xlarge,d2,8xlarge,249856,36,48000,0,10,5.52,AWS
36,d2.xlarge,d2,xlarge,31232,4,6000,0,,0.69,AWS
37,g3.16xlarge,g3,16xlarge,499712,64,0,4,20,4.56,AWS
38,g3.4xlarge,g3,4xlarge,124928,16,0,1,10,1.14,AWS
39,g3.8xlarge,g3,8xlarge,249856,32,0,2,10,2.28,AWS
40,g3s.xlarge,g3s,xlarge,31232,4,0,1,10,,AWS
41,g4dn.12xlarge,g4dn,12xlarge,196608,48,900,4,50,,AWS
42,g4dn.16xlarge,g4dn,16xlarge,262144,64,900,1,50,,AWS
43,g4dn.2xlarge,g4dn,2xlarge,32768,8,225,1,25,,AWS
44,g4dn.4xlarge,g4dn,4xlarge,65536,16,225,1,25,,AWS
45,g4dn.8xlarge,g4dn,8xlarge,131072,32,900,1,50,,AWS
46,g4dn.xlarge,g4dn,xlarge,16384,4,125,1,25,,AWS
47,h1.16xlarge,h1,16xlarge,262144,64,16000,0,25,3.744,AWS
48,h1.2xlarge,h1,2xlarge,32768,8,2000,0,10,0.468,AWS
49,h1.4xlarge,h1,4xlarge,65536,16,4000,0,10,0.936,AWS
50,h1.8xlarge,h1,8xlarge,131072,32,8000,0,10,1.872,AWS
51,i2.2xlarge,i2,2xlarge,62464,8,1600,0,,1.705,AWS
52,i2.4xlarge,i2,4xlarge,124928,16,3200,0,,3.41,AWS
53,i2.8xlarge,i2,8xlarge,249856,32,6400,0,10,6.82,AWS
54,i2.xlarge,i2,xlarge,31232,4,800,0,,0.853,AWS
55,i3.16xlarge,i3,16xlarge,499712,64,15200,0,20,4.992,AWS
56,i3.2xlarge,i3,2xlarge,62464,8,1900,0,10,0.624,AWS
57,i3.4xlarge,i3,4xlarge,124928,16,3800,0,10,1.248,AWS
58,i3.8xlarge,i3,8xlarge,249856,32,7600,0,10,2.496,AWS
59,i3.large,i3,large,15616,2,475,0,10,0.156,AWS
60,i3.xlarge,i3,xlarge,31232,4,950,0,10,0.312,AWS
61,i3en.12xlarge,i3en,12xlarge,393216,48,30000,0,50,,AWS
62,i3en.24xlarge,i3en,24xlarge,786432,96,60000,0,100,,AWS
63,i3en.2xlarge,i3en,2xlarge,65536,8,5000,0,25,,AWS
64,i3en.3xlarge,i3en,3xlarge,98304,12,7500,0,25,,AWS
65,i3en.6xlarge,i3en,6xlarge,196608,24,15000,0,25,,AWS
66,i3en.large,i3en,large,16384,2,1250,0,25,,AWS
67,i3en.xlarge,i3en,xlarge,32768,4,2500,0,25,,AWS
68,m4.10xlarge,m4,10xlarge,163840,40,0,0,10,2.0,AWS
69,m4.16xlarge,m4,16xlarge,262144,64,0,0,20,3.2,AWS
70,m4.2xlarge,m4,2xlarge,32768,8,0,0,,0.4,AWS
71,m4.4xlarge,m4,4xlarge,65536,16,0,0,,0.8,AWS
72,m4.large,m4,large,8192,2,0,0,,0.1,AWS
73,m4.xlarge,m4,xlarge,16384,4,0,0,,0.2,AWS
74,m5.12xlarge,m5,12xlarge,196608,48,0,0,10,2.304,AWS
75,m5.16xlarge,m5,16xlarge,262144,64,0,0,20,,AWS
76,m5.24xlarge,m5,24xlarge,393216,96,0,0,25,4.608,AWS
77,m5.2xlarge,m5,2xlarge,32768,8,0,0,10,0.384,AWS
78,m5.4xlarge,m5,4xlarge,65536,16,0,0,10,0.768,AWS
79,m5.8xlarge,m5,8xlarge,131072,32,0,0,10,,AWS
80,m5.large,m5,large,8192,2,0,0,10,0.096,AWS
81,m5.metal,m5,metal,393216,96,0,0,25,,AWS
82,m5.xlarge,m5,xlarge,16384,4,0,0,10,0.192,AWS
83,m5a.12xlarge,m5a,12xlarge,196608,48,0,0,10,,AWS
84,m5a.16xlarge,m5a,16xlarge,262144,64,0,0,12,,AWS
85,m5a.24xlarge,m5a,24xlarge,393216,96,0,0,20,,AWS
86,m5a.2xlarge,m5a,2xlarge,32768,8,0,0,10,,AWS
87,m5a.4xlarge,m5a,4xlarge,65536,16,0,0,10,,AWS
88,m5a.8xlarge,m5a,8xlarge,131072,32,0,0,10,,AWS
89,m5a.large,m5a,large,8192,2,0,0,10,,AWS
90,m5a.xlarge,m5a,xlarge,16384,4,0,0,10,,AWS
91,m5ad.12xlarge,m5ad,12xlarge,196608,48,1800,0,10,,AWS
92,m5ad.24xlarge,m5ad,24xlarge,393216,96,3600,0,20,,AWS
93,m5ad.2xlarge,m5ad,2xlarge,32768,8,300,0,10,,AWS
94,m5ad.4xlarge,m5ad,4xlarge,65536,16,600,0,10,,AWS
95,m5ad.large,m5ad,large,8192,2,75,0,10,,AWS
96,m5ad.xlarge,m5ad,xlarge,16384,4,150,0,10,,AWS
97,m5d.12xlarge,m5d,12xlarge,196608,48,1800,0,10,2.712,AWS
98,m5d.16xlarge,m5d,16xlarge,262144,64,2400,0,20,,AWS
99,m5d.24xlarge,m5d,24xlarge,393216,96,3600,0,25,5.424,AWS
100,m5d.2xlarge,m5d,2xlarge,32768,8,300,0,10,0.452,AWS
101,m5d.4xlarge,m5d,4xlarge,65536,16,600,0,10,0.904,AWS
102,m5d.8xlarge,m5d,8xlarge,131072,32,1200,0,10,,AWS
103,m5d.large,m5d,large,8192,2,75,0,10,0.113,AWS
104,m5d.xlarge,m5d,xlarge,16384,4,150,0,10,0.226,AWS
105,m5dn.12xlarge,m5dn,12xlarge,196608,48,1800,0,50,,AWS
106,m5dn.16xlarge,m5dn,16xlarge,262144,64,2400,0,75,,AWS
107,m5dn.24xlarge,m5dn,24xlarge,393216,96,3600,0,100,,AWS
108,m5dn.2xlarge,m5dn,2xlarge,32768,8,300,0,25,,AWS
109,m5dn.4xlarge,m5dn,4xlarge,65536,16,600,0,25,,AWS
110,m5dn.8xlarge,m5dn,8xlarge,131072,32,1200,0,25,,AWS
111,m5dn.large,m5dn,large,8192,2,75,0,25,,AWS
112,m5dn.xlarge,m5dn,xlarge,16384,4,150,0,25,,AWS
113,m5n.12xlarge,m5n,12xlarge,196608,48,0,0,50,,AWS
114,m5n.16xlarge,m5n,16xlarge,262144,64,0,0,75,,AWS
115,m5n.24xlarge,m5n,24xlarge,393216,96,0,0,100,,AWS
116,m5n.2xlarge,m5n,2xlarge,32768,8,0,0,25,,AWS
117,m5n.4xlarge,m5n,4xlarge,65536,16,0,0,25,,AWS
118,m5n.8xlarge,m5n,8xlarge,131072,32,0,0,25,,AWS
119,m5n.large,m5n,large,8192,2,0,0,25,,AWS
120,m5n.xlarge,m5n,xlarge,16384,4,0,0,25,,AWS
121,p2.16xlarge,p2,16xlarge,749568,64,0,16,20,14.4,AWS
122,p2.8xlarge,p2,8xlarge,499712,32,0,8,10,7.2,AWS
123,p2.xlarge,p2,xlarge,62464,4,0,1,,0.9,AWS
124,p3.16xlarge,p3,16xlarge,499712,64,0,8,25,24.48,AWS
125,p3.2xlarge,p3,2xlarge,62464,8,0,1,10,3.06,AWS
126,p3.8xlarge,p3,8xlarge,249856,32,0,4,10,12.24,AWS
127,r3.2xlarge,r3,2xlarge,62464,8,160,0,,0.665,AWS
128,r3.4xlarge,r3,4xlarge,124928,16,320,0,,1.33,AWS
129,r3.8xlarge,r3,8xlarge,249856,32,640,0,10,2.66,AWS
130,r3.large,r3,large,15616,2,32,0,,0.166,AWS
131,r3.xlarge,r3,xlarge,31232,4,80,0,,0.333,AWS
132,r4.16xlarge,r4,16xlarge,499712,64,0,0,20,4.256,AWS
133,r4.2xlarge,r4,2xlarge,62464,8,0,0,10,0.532,AWS
134,r4.4xlarge,r4,4xlarge,124928,16,0,0,10,1.064,AWS
135,r4.8xlarge,r4,8xlarge,249856,32,0,0,10,2.128,AWS
136,r4.large,r4,large,15616,2,0,0,10,0.133,AWS
137,r4.xlarge,r4,xlarge,31232,4,0,0,10,0.266,AWS
138,r5.12xlarge,r5,12xlarge,393216,48,0,0,10,,AWS
139,r5.16xlarge,r5,16xlarge,524288,64,0,0,20,,AWS
140,r5.24xlarge,r5,24xlarge,786432,96,0,0,25,,AWS
141,r5.2xlarge,r5,2xlarge,65536,8,0,0,10,,AWS
142,r5.4xlarge,r5,4xlarge,131072,16,0,0,10,,AWS
143,r5.8xlarge,r5,8xlarge,262144,32,0,0,10,,AWS
144,r5.large,r5,large,16384,2,0,0,10,,AWS
145,r5.xlarge,r5,xlarge,32768,4,0,0,10,,AWS
146,r5a.12xlarge,r5a,12xlarge,393216,48,0,0,10,,AWS
147,r5a.16xlarge,r5a,16xlarge,524288,64,0,0,12,,AWS
148,r5a.24xlarge,r5a,24xlarge,786432,96,0,0,20,,AWS
149,r5a.2xlarge,r5a,2xlarge,65536,8,0,0,10,,AWS
150,r5a.4xlarge,r5a,4xlarge,131072,16,0,0,10,,AWS
151,r5a.8xlarge,r5a,8xlarge,262144,32,0,0,10,,AWS
152,r5a.large,r5a,large,16384,2,0,0,10,,AWS
153,r5a.xlarge,r5a,xlarge,32768,4,0,0,10,,AWS
154,r5ad.12xlarge,r5ad,12xlarge,393216,48,1800,0,10,,AWS
155,r5ad.24xlarge,r5ad,24xlarge,786432,96,3600,0,20,,AWS
156,r5ad.2xlarge,r5ad,2xlarge,65536,8,300,0,10,,AWS
157,r5ad.4xlarge,r5ad,4xlarge,131072,16,600,0,10,,AWS
158,r5ad.large,r5ad,large,16384,2,75,0,10,,AWS
159,r5ad.xlarge,r5ad,xlarge,32768,4,150,0,10,,AWS
160,r5d.12xlarge,r5d,12xlarge,393216,48,1800,0,10,,AWS
161,r5d.16xlarge,r5d,16xlarge,524288,64,2400,0,20,,AWS
162,r5d.24xlarge,r5d,24xlarge,786432,96,3600,0,25,,AWS
163,r5d.2xlarge,r5d,2xlarge,65536,8,300,0,10,,AWS
164,r5d.4xlarge,r5d,4xlarge,131072,16,600,0,10,,AWS
165,r5d.8xlarge,r5d,8xlarge,262144,32,1200,0,10,,AWS
166,r5d.large,r5d,large,16384,2,75,0,10,,AWS
167,r5d.xlarge,r5d,xlarge,32768,4,150,0,10,,AWS
168,r5dn.12xlarge,r5dn,12xlarge,393216,48,1800,0,50,,AWS
169,r5dn.16xlarge,r5dn,16xlarge,524288,64,2400,0,75,,AWS
170,r5dn.24xlarge,r5dn,24xlarge,786432,96,3600,0,100,,AWS
171,r5dn.2xlarge,r5dn,2xlarge,65536,8,300,0,25,,AWS
172,r5dn.4xlarge,r5dn,4xlarge,131072,16,600,0,25,,AWS
173,r5dn.8xlarge,r5dn,8xlarge,262144,32,1200,0,25,,AWS
174,r5dn.large,r5dn,large,16384,2,75,0,25,,AWS
175,r5dn.xlarge,r5dn,xlarge,32768,4,150,0,25,,AWS
176,r5n.12xlarge,r5n,12xlarge,393216,48,0,0,50,,AWS
177,r5n.16xlarge,r5n,16xlarge,524288,64,0,0,75,,AWS
178,r5n.24xlarge,r5n,24xlarge,786432,96,0,0,100,,AWS
179,r5n.2xlarge,r5n,2xlarge,65536,8,0,0,25,,AWS
180,r5n.4xlarge,r5n,4xlarge,131072,16,0,0,25,,AWS
181,r5n.8xlarge,r5n,8xlarge,262144,32,0,0,25,,AWS
182,r5n.large,r5n,large,16384,2,0,0,25,,AWS
183,r5n.xlarge,r5n,xlarge,32768,4,0,0,25,,AWS
184,t2.2xlarge,t2,2xlarge,32768,8,0,0,,0.3712,AWS
185,t2.large,t2,large,8192,2,0,0,,0.0928,AWS
186,t2.medium,t2,medium,4096,2,0,0,,0.0464,AWS
187,t2.micro,t2,micro,1024,1,0,0,,0.0116,AWS
188,t2.nano,t2,nano,512,1,0,0,,0.0058,AWS
189,t2.small,t2,small,2048,1,0,0,,0.023,AWS
190,t2.xlarge,t2,xlarge,16384,4,0,0,,0.1856,AWS
191,t3.2xlarge,t3,2xlarge,32768,8,0,0,,,AWS
192,t3.large,t3,large,8192,2,0,0,,,AWS
193,t3.medium,t3,medium,4096,2,0,0,,,AWS
194,t3.micro,t3,micro,1024,2,0,0,,,AWS
195,t3.nano,t3,nano,512,2,0,0,,,AWS
196,t3.small,t3,small,2048,2,0,0,,,AWS
197,t3.xlarge,t3,xlarge,16384,4,0,0,,,AWS
198,t3a.2xlarge,t3a,2xlarge,32768,8,0,0,,,AWS
199,t3a.large,t3a,large,8192,2,0,0,,,AWS
200,t3a.medium,t3a,medium,4096,2,0,0,,,AWS
201,t3a.micro,t3a,micro,1024,2,0,0,,,AWS
202,t3a.nano,t3a,nano,512,2,0,0,,,AWS
203,t3a.small,t3a,small,2048,2,0,0,,,AWS
204,t3a.xlarge,t3a,xlarge,16384,4,0,0,,,AWS
205,x1.16xlarge,x1,16xlarge,999424,64,1920,0,,6.669,AWS
206,x1.32xlarge,x1,32xlarge,1998848,128,3840,0,,13.338,AWS
207,x1e.16xlarge,x1e,16xlarge,1998848,64,1920,0,10,,AWS
208,x1e.2xlarge,x1e,2xlarge,249856,8,240,0,10,,AWS
209,x1e.32xlarge,x1e,32xlarge,3997696,128,3840,0,25,,AWS
210,x1e.4xlarge,x1e,4xlarge,499712,16,480,0,10,,AWS
211,x1e.8xlarge,x1e,8xlarge,999424,32,960,0,10,,AWS
212,x1e.xlarge,x1e,xlarge,124928,4,120,0,10,,AWS
213,z1d.12xlarge,z1d,12xlarge,393216,48,1800,0,25,,AWS
214,z1d.2xlarge,z1d,2xlarge,65536,8,300,0,10,,AWS
215,z1d.3xlarge,z1d,3xlarge,98304,12,450,0,10,,AWS
216,z1d.6xlarge,z1d,6xlarge,196608,24,900,0,10,,AWS
217,z1d.large,z1d,large,16384,2,75,0,10,,AWS
218,z1d.xlarge,z1d,xlarge,32768,4,150,0,10,,AWS
